title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
"The Lion, the Witch and the Wardrobe Read-Aloud Edition",,C. S. Lewis;Pauline Baynes,Juvenile Fiction,http://books.google.com/books/content?id=deiyGRUp6JIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Four English school children enter the magic land of Narnia through the back of a wardrobe and assist Aslan, the golden lion, in defeating the White Witch who has cursed the land with eternal winter.",2005,4.21,189,56
"Mambo Kings Play Songs of Love, The Tie-in",A Novel,Oscar Hijuelos,Fiction,http://books.google.com/books/content?id=rL2fOXmLquMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In late 1940s New York City, Cesar and Nestor Castillo, two young Cuban musicians, are dubbed the ""Mambo Kings"" for their talent and rise to superstardom. Reissue. (Tie in to the Broadway musical production, produced by Daryl Roth, opening August 2005) (Historical Fiction)",2005,3.68,448,126
Sex with the Queen,"900 Years of Vile Kings, Virile Lovers, and Passionate Politics",Eleanor Herman,History,http://books.google.com/books/content?id=5GSgQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In this follow-up to her bestselling Sex with Kings, Eleanor Herman reveals the truth about what goes on behind the closed door of a queen's boudoir. Impeccably researched, filled with page-turning romance, passion, and scandal, Sex with the Queen explores the scintillating sexual lives of some of our most beloved and infamous female rulers. She was the queen, living in an opulent palace, wearing lavish gowns and dazzling jewels. She was envied, admired, and revered. She was also miserable, having been forced to marry a foreign prince sight unseen, a royal ogre who was sadistic, foaming at the mouth, physically repulsive, mentally incompetent, or sexually impotent?봞nd in some cases all of the above. How did queens find happiness? In courts bristling with testosterone?봲washbuckling generals, polished courtiers, and virile cardinals?봫any royal women had love affairs. Anne Boleyn flirted with courtiers; Catherine Howard slept with one. Henry VIII had both of them beheaded. Catherine the Great had her idiot husband murdered, and ruled the Russian empire with a long list of sexy young favorites. Marie Antoinette fell in love with the handsome Swedish count Axel Fersen, who tried valiantly to rescue her from the guillotine. Empress Alexandra of Russia found emotional solace in the mad monk Rasputin. Her behavior was the spark that set off the firestorm of the Russian revolution. Princess Diana gave up her palace bodyguard to enjoy countless love affairs, which tragically led to her early death. When a queen became sick to death of her husband and took a lover, anything could happen?봣rom disgrace and death to political victory. Some kings imprisoned erring wives for life; other monarchs obligingly named the queen's lover prime minister. The crucial factor deciding the fate of an unfaithful queen was the love affair's implications in terms of power, money, and factional rivalry. At European courts, it was the politics?봭ot the sex?봳hat caused a royal woman's tragedy?봮r her ultimate triumph.",2006,3.91,336,3676
Brave New World,,Aldous Huxley,Fiction,http://books.google.com/books/content?id=V4kY9WSCgSwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Huxley's classic prophetic novel describes the socialized horrors of a futuristic utopia devoid of individual freedom.,2006,3.98,259,12332
Queen of Babble,A Novel,Meg Cabot,Fiction,http://books.google.com/books/content?id=KM1a1gyldeAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Lizzie Nichols discovers that her inability to keep her mouth shut has landed her once again in hot water when she aggravates her unfaithful boyfriend, Andy, is stranded in London, and takes a job as a bartender for a catered wedding at a French chateau, an affair that ends with the groom in disgrace, a furious bride, and Andy returning to ruin everything. 100,000 first printing.",2006,3.69,309,59613
"Animal, Vegetable, Miracle",A Year of Food Life,Barbara Kingsolver;Camille Kingsolver;Steven L. Hopp,Biography & Autobiography,http://books.google.com/books/content?id=qLkEYjv5BHgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Bestselling author Barbara Kingsolver returns with her first nonfiction narrative that will open your eyes in a hundred new ways to an old truth: You are what you eat. ""As the U.S. population made an unprecedented mad dash for the Sun Belt, one carload of us paddled against the tide, heading for the Promised Land where water falls from the sky and green stuff grows all around. We were about to begin the adventure of realigning our lives with our food chain. ""Naturally, our first stop was to buy junk food and fossil fuel. . . ."" Hang on for the ride: With characteristic poetry and pluck, Barbara Kingsolver and her family sweep readers along on their journey away from the industrial-food pipeline to a rural life in which they vow to buy only food raised in their own neighborhood, grow it themselves, or learn to live without it. Their good-humored search yields surprising discoveries about turkey sex life and overly zealous zucchini plants, en route to a food culture that's better for the neighborhood and also better on the table. Part memoir, part journalistic investigation, Animal, Vegetable, Miracle makes a passionate case for putting the kitchen back at the center of family life and diversified farms at the center of the American diet. ""This is the story of a year in which we made every attempt to feed ourselves animals and vegetables whose provenance we really knew . . . and of how our family was changed by our first year of deliberately eating food produced from the same place where we worked, went to school, loved our neighbors, drank the water, and breathed the air.""",2007,4.04,370,86130
Good Omens,"The Nice and Accurate Prophecies of Agnes Nutter, Witch",Neil Gaiman;Terry Pratchett,Fiction,http://books.google.com/books/content?id=7erEbfDOcgkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"According to The Nice and Accurate Prophecies of Agnes Nutter, Witch (the world's only completely accurate book of prophecies, written in 1655, before she exploded), the world will end on a Saturday. Next Saturday, in fact. Just before dinner. So the armies of Good and Evil are amassing, Atlantis is rising, frogs are falling, tempers are flaring. Everything appears to be going according to Divine Plan. Except a somewhat fussy angel and a fast-living demon?봟oth of whom have lived amongst Earth's mortals since The Beginning and have grown rather fond of the lifestyle?봞re not actually looking forward to the coming Rapture. And someone seems to have misplaced the Antichrist . . .",2006,4.25,412,373135
Dates From Hell,,Kim Harrison;Lynsay Sands;Kelley Armstrong;Lori Handeland,Fiction,http://books.google.com/books/content?id=D07pnQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"She thought her date was out of this world. Actually, he was not of this world . . . We've all been on bad dates, nightmare dates, dreadful experiences that turned out to be uniquely memorable in the very worst way. But at least our partners for these detestable evenings were more or less . . . human! Now Kim Harrison, Lynsay Sands, Kelley Armstrong, and Lori Handeland -- four of the very best writers currently exploring the dangerous seduction of the supernatural -- offer up dating disasters (and unexpected delights) of a completely different sort: dark, wicked, paranormally sensual assignations with werewolves, demon lovers, and the romantically challenged undead. Sexy, witty, chilling, and altogether remarkable, here is proof positive that some love matches are made someplace other than heaven.",2006,3.78,416,10467
Continental Drift,,Russell Banks,Fiction,http://books.google.com/books/content?id=VDRLPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A powerful literary classic from one of contemporary fiction's most acclaimed and important writers, Russell Banks's Continental Drift is a masterful novel of hope lost and gained, and a gripping, indelible story of fragile lives uprooted and transformed by injustice, disappointment, and the seductions and realities of the American dream.",2007,3.87,408,2744
The Burglar Who Thought He Was Bogart,,Lawrence Block,Fiction,http://books.google.com/books/content?id=TaXSmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Bookseller Bernie Rhodenbarr's in love?봶ith an exotic Eastern European beauty who shares his obsession with Humphrey Bogart movies. He's in heaven, munching popcorn with his new amour every night at a Bogart Film Festival?봴ntil their Casablanca-esque idyll is cut short by his other secret passion: burglary. When he's hired to pilfer a portfolio of valuable documents from a Park Avenue apartment, Bernie can hardly refuse. But the occupant's early return forces Bernie to flee empty-handed?봞nd he soon finds himself implicated in a murder. Before you can say ""who stole the strawberries?"" he's hunting for a killer, up to his neck in the outrageous intrigues of a tiny Balkan nation . . . and menaced by more sinister fat men and unsavory toadies than the great Bogie himself butted heads with in pursuit of that darn bird!",2006,3.89,400,2079
